ticker,sector,market_cap,bucket,effective_bucket,distress_type,verdict,status,api_distress,api_fraud,api_high_short,api_recent_raise,short_dtc,effective_reason,note,logic_version,last_processed_utc
SEVN,Financials,192292608.0,DISTRESSED-RECOVERABLE,DISTRESSED-RECOVERABLE,,AGREE,done,0,0,0,0,3.92,,,v1-2026-06-09,2026-06-09T16:04:40Z
HTLM,Unknown,191931264.0,CLEAR,CLEAR,,AGREE,done,0,0,1,0,11.31,,,v1-2026-06-09,2026-06-09T16:04:40Z
KGEI,Unknown,190981440.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,3.27,,,v1-2026-06-09,2026-06-09T16:04:40Z
FF,Materials,190806256.0,WATCH,WATCH,,AGREE,done,0,0,0,0,1.63,,,v1-2026-06-09,2026-06-09T16:04:40Z
CFBK,Financials,190459712.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,1.74,,,v1-2026-06-09,2026-06-09T16:04:40Z
CRBU,Health Care,190426704.0,AVOID,AVOID,cash_burn,AVOID_unconfirmed,done,0,0,0,0,4.52,,no API distress/short signal (coverage may be thin),v1-2026-06-09,2026-06-09T16:04:40Z
GORO,Materials,189411024.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,1.15,,,v1-2026-06-09,2026-06-09T16:04:40Z
RICK,Consumer Discretionary,188513376.0,CLEAR,CLEAR,,AGREE,done,0,0,1,0,15.73,,,v1-2026-06-09,2026-06-09T16:04:40Z
MDV,Financials,188406976.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,1.0,,,v1-2026-06-09,2026-06-09T16:04:40Z
APYX,Health Care,187176560.0,WATCH,WATCH,,AGREE,done,0,0,0,1,1.0,, | RAISE:Apyx Medical Corporation Announces Pricing of $10 Million Public Offering of Common Stock,v1-2026-06-09,2026-06-09T16:04:40Z
CHPT,Information Technology,186980896.0,WATCH,WATCH,,AGREE,done,0,0,0,0,8.8,,,v1-2026-06-09,2026-06-09T16:04:40Z
INFU,Health Care,186478944.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,1.0,,,v1-2026-06-09,2026-06-09T16:04:40Z
QMCO,Information Technology,185902960.0,AVOID,AVOID,insolvency,AVOID_unconfirmed,done,0,0,0,0,2.14,,no API distress/short signal (coverage may be thin),v1-2026-06-09,2026-06-09T16:04:40Z
EQ,Health Care,185886080.0,SKIP_lt2y,,,SKIP,skip,,,,,,,<2y data,v1-2026-06-09,2026-06-09T16:04:40Z
INSG,Information Technology,185880000.0,CLEAR,CLEAR,,AGREE,done,0,0,0,0,3.86,,,v1-2026-06-09,2026-06-09T16:04:40Z
BHR,Financials,184833296.0,DISTRESSED-RECOVERABLE,DISTRESSED-RECOVERABLE,,AGREE,done,0,0,0,0,2.25,,,v1-2026-06-09,2026-06-09T16:04:40Z
UNCY,Health Care,184764192.0,SKIP_lt2y,,,SKIP,skip,,,,,,,<2y data,v1-2026-06-09,2026-06-09T16:04:40Z
